product_id,product_title,rating,total_reviews,price,top_reviews
itmf37c8dffa4165,"Apple iPhone 17 (Lavender, 256 GB)",4.7,179,"₹82,900",No reviews found
itm1834df7ee2812,"Apple iPhone 17 (Mist Blue, 256 GB)",4.7,179,"₹82,900",No reviews found
